iter	Passed	Remaining
0	177	177197
1	186	93198
2	235	78148
3	247	61729
4	259	51612
5	346	57320
6	408	57974
7	419	52078
8	429	47248
9	439	43484
10	448	40360
11	459	37798
12	510	38779
13	533	37551
14	568	37356
15	633	38934
16	657	37992
17	676	36886
18	692	35771
19	877	43009
20	888	41424
21	899	39985
22	958	40732
23	969	39438
24	980	38256
25	991	37129
26	1006	36281
27	1017	35320
28	1072	35895
29	1086	35120
30	1098	34321
31	1311	39672
32	1327	38913
33	1336	37986
34	1383	38145
35	1408	37726
36	1440	37497
37	1512	38297
38	1531	37738
39	1544	37056
40	1647	38534
41	1681	38344
42	1706	37981
43	1746	37947
44	1758	37324
45	1772	36751
46	1846	37432
47	1908	37845
48	2189	42502
49	2199	41787
50	2220	41314
51	2773	50559
52	2826	50502
53	2994	52466
54	3093	53149
55	3139	52927
56	3169	52439
57	3250	52799
58	3277	52272
59	3524	55210
60	3573	55006
61	3585	54248
62	3594	53458
63	3649	53368
64	3706	53310
65	3721	52669
66	3757	52319
67	3768	51645
68	3773	50917
69	3783	50263
70	3792	49627
71	3809	49094
72	3818	48486
73	3830	47930
74	3865	47677
75	3876	47130
76	3885	46580
77	3960	46813
78	3971	46303
79	3981	45781
80	4087	46370
81	4102	45924
82	4128	45611
83	4145	45204
84	4156	44744
85	4171	44331
86	4184	43911
87	4203	43563
88	4227	43273
89	4277	43247
90	4287	42825
91	4300	42446
92	4310	42037
93	4322	41661
94	4334	41287
95	4346	40928
96	4364	40626
97	4376	40280
98	4396	40008
99	4430	39871
100	4441	39531
101	4450	39178
102	4464	38882
103	4504	38812
104	4514	38477
105	4523	38150
106	4538	37879
107	4555	37621
108	4571	37367
109	4584	37095
110	4597	36822
111	4613	36575
112	4628	36328
113	4719	36683
114	4739	36473
115	4761	36287
116	4959	37431
117	4975	37190
118	4984	36903
119	4995	36636
120	5009	36393
121	5032	36214
122	5055	36043
123	5145	36353
124	5163	36143
125	5179	35926
126	5260	36158
127	5271	35914
128	5282	35664
129	5290	35408
130	5308	35212
131	5320	34984
132	5332	34762
133	5374	34735
134	5384	34502
135	5413	34391
136	5426	34181
137	5441	33989
138	5455	33794
139	5469	33598
140	5481	33394
141	5494	33200
142	5534	33166
143	5546	32968
144	5558	32777
145	5568	32571
146	5643	32747
147	5658	32576
148	5670	32384
149	5679	32185
150	5688	31985
151	5699	31797
152	5708	31602
153	5718	31414
154	5727	31223
155	5739	31053
156	5752	30885
157	5783	30821
158	5818	30775
159	5826	30590
160	5836	30416
161	5848	30253
162	5857	30079
163	5867	29909
164	5886	29787
165	5914	29713
166	5927	29564
167	5988	29657
168	6001	29511
169	6011	29351
170	6022	29194
171	6035	29054
172	6047	28910
173	6056	28752
174	6068	28606
175	6077	28452
176	6089	28313
177	6101	28177
178	6127	28105
179	6136	27957
180	6146	27812
181	6232	28010
182	6249	27898
183	6262	27772
184	6272	27633
185	6288	27521
186	6383	27753
187	6393	27614
188	6403	27478
189	6425	27390
190	6436	27264
191	6446	27127
192	6494	27156
193	6504	27025
194	6519	26911
195	6557	26900
196	6617	26973
197	6626	26842
198	6635	26709
199	6647	26589
200	6673	26528
201	6685	26412
202	6697	26296
203	6719	26218
204	6782	26301
205	6799	26207
206	7007	26845
207	7187	27367
208	7207	27279
209	7220	27163
210	7287	27250
211	7297	27124
212	7307	27000
213	7343	26972
214	7355	26856
215	7365	26733
216	7388	26658
217	7397	26536
218	7424	26476
219	7607	26973
220	7618	26854
221	7631	26746
222	7693	26805
223	8092	28034
224	8118	27965
