iter	Passed	Remaining
0	61	6134
1	65	3214
2	66	2156
3	67	1618
4	68	1294
5	68	1078
6	69	922
7	70	809
8	71	720
9	71	645
10	72	586
11	73	537
12	74	495
13	74	458
14	75	427
15	77	404
16	77	379
17	78	357
18	79	337
19	79	319
20	80	302
21	80	286
22	81	273
23	82	259
24	82	248
25	83	237
26	85	230
27	85	220
28	86	211
29	86	202
30	87	194
31	88	187
32	88	179
33	88	172
34	89	166
35	90	160
36	91	155
37	91	149
38	92	144
39	93	140
40	96	138
41	97	135
42	100	132
43	101	129
44	103	125
45	104	123
46	105	119
47	106	115
48	106	111
49	107	107
50	107	103
51	108	100
52	109	96
53	109	93
54	110	90
55	111	87
56	112	84
57	112	81
58	113	78
59	113	75
60	114	73
61	115	71
62	116	68
63	117	66
64	118	63
65	119	61
66	119	58
67	120	56
68	120	54
69	121	51
70	123	50
71	123	48
72	124	45
73	124	43
74	125	41
75	125	39
76	126	37
77	127	35
78	127	33
79	128	32
80	128	30
81	129	28
82	129	26
83	130	24
84	131	23
85	131	21
86	132	19
87	132	18
88	133	16
89	133	14
90	134	13
91	134	11
92	135	10
93	135	8
94	136	7
95	136	5
96	137	4
97	138	2
98	138	1
99	139	0
